report_id,kind,company,stock_code,year,title,source_site,source_url,pdf_url,local_path,published_at,downloaded_at,sha256,file_size,pages,status,error
annual_000977_2025,annual,浪潮信息,000977,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000977&announcementId=1225096638&orgId=gssz0000977&announcementTime=1775836800000,https://static.cninfo.com.cn/finalpage/2026-04-11/1225096638.PDF,data/raw_pdfs/annual/浪潮信息_2025年报.pdf,2026-04-11,2026-05-15T00:23:29+08:00,a292147237341c5918930d25497ec4db92af13b3991b71ecddea2740886931b0,8440116,186,downloaded,
annual_603019_2025,annual,中科曙光,603019,2025,中科曙光2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603019&announcementId=1225104539&orgId=9900023134&announcementTime=1776182400000,https://static.cninfo.com.cn/finalpage/2026-04-15/1225104539.PDF,data/raw_pdfs/annual/中科曙光_2025年报.pdf,2026-04-15,2026-05-15T00:23:30+08:00,96e0142fab587c141645fdb1ef411fc13ae3940bbb7c06eb3831f480d5af7241,1897948,227,downloaded,
annual_601138_2025,annual,工业富联,601138,2025,富士康工业互联网股份有限公司2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=601138&announcementId=1225004420&orgId=9900036731&announcementTime=1773158400000,https://static.cninfo.com.cn/finalpage/2026-03-11/1225004420.PDF,data/raw_pdfs/annual/工业富联_2025年报.pdf,2026-03-11,2026-05-15T00:23:30+08:00,21939eda6d98778d2e5bf54cccf82f86d5dd7a127c2a86706bc78d075b19b567,1623666,270,downloaded,
annual_300308_2025,annual,中际旭创,300308,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300308&announcementId=1225056459&orgId=9900022016&announcementTime=1774886400000,https://static.cninfo.com.cn/finalpage/2026-03-31/1225056459.PDF,data/raw_pdfs/annual/中际旭创_2025年报.pdf,2026-03-31,2026-05-15T00:23:31+08:00,0290f380253dde79613d43a1c6203674ae36cb89f849f063668ccde9a8789b5e,6150814,229,downloaded,
annual_300502_2025,annual,新易盛,300502,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300502&announcementId=1225172598&orgId=9900026455&announcementTime=1776960000000,https://static.cninfo.com.cn/finalpage/2026-04-24/1225172598.PDF,data/raw_pdfs/annual/新易盛_2025年报.pdf,2026-04-24,2026-05-15T00:23:32+08:00,3432905a431a8254c2274c2188269e94cfc5a69e92c7d34332a5a3a7da8b15b6,2902416,170,downloaded,
annual_300394_2025,annual,天孚通信,300394,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300394&announcementId=1225082705&orgId=9900023911&announcementTime=1775577600000,https://static.cninfo.com.cn/finalpage/2026-04-08/1225082705.PDF,data/raw_pdfs/annual/天孚通信_2025年报.pdf,2026-04-08,2026-05-15T00:23:32+08:00,969e5142ee753b68e1f01c26e25215310d643dda43e4a25ae72bcc01f1265268,2317596,265,downloaded,
annual_002837_2025,annual,英维克,002837,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002837&announcementId=1225131813&orgId=9900029666&announcementTime=1776700800000,https://static.cninfo.com.cn/finalpage/2026-04-21/1225131813.PDF,data/raw_pdfs/annual/英维克_2025年报.pdf,2026-04-21,2026-05-15T00:23:33+08:00,2cbfc5dc8a60b01212b68d930fb06d0a25bd74563cd1942bd87161246c3a1472,5170591,196,downloaded,
annual_301018_2025,annual,申菱环境,301018,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=301018&announcementId=1225181199&orgId=9900035574&announcementTime=1777219200000,https://static.cninfo.com.cn/finalpage/2026-04-27/1225181199.PDF,data/raw_pdfs/annual/申菱环境_2025年报.pdf,2026-04-27,2026-05-15T00:23:33+08:00,9f3e0616759471fab100a768b8cb67c7a6188d0287a5a5ab4c932596ac663e81,1113271,175,downloaded,
annual_688256_2025,annual,寒武纪,688256,2025,2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=688256&announcementId=1225007336&orgId=nssc1000595&announcementTime=1773331200000,https://static.cninfo.com.cn/finalpage/2026-03-13/1225007336.PDF,data/raw_pdfs/annual/寒武纪_2025年报.pdf,2026-03-13,2026-05-15T00:23:34+08:00,e9360bfb6ad2d66ce7b65da15f8fa2fcdda9fde526e2a76dba3964327507f4ab,1531788,219,downloaded,
annual_688041_2025,annual,海光信息,688041,2025,海光信息技术股份有限公司2025年年度报告,巨潮资讯,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=688041&announcementId=1225083088&orgId=9900048365&announcementTime=1775577600000,https://static.cninfo.com.cn/finalpage/2026-04-08/1225083088.PDF,data/raw_pdfs/annual/海光信息_2025年报.pdf,2026-04-08,2026-05-15T00:23:34+08:00,abe3c5f80e80e2b6a56d243cfd502cccec715df783b7b9dcf95d3a84b1106c02,1953281,231,downloaded,
